odberove_misto_id,odberove_misto_nazev,okres_nuts_kod,operacni_status,odberove_misto_adresa,latitude,longitude,testovaci_kapacita,nasofaryngealni_odber,orofaryngealni_odber,antigenni_odber,drive_in
eb2cf89b-cebb-436b-b077-237bd99fd222,"#CovidPoint® ČSAP z.s. - Praha 8, Karlín",CZ0100,1,"Malého 282/3, Praha 8",50.0895008,14.4440450,1834,1,1,,
a81a99e2-90bd-494c-ae42-7090f93115ca,"#NaŽádanku.cz – Odběrové centrum Praha 15 (H. Měcholupy)",CZ0100,,"Park na křižovatce ulic Ravennská a Milánská, Praha 15, 109 00",50.0444517,14.5585581,160,1,1,1,
f4d02b50-1561-4c7e-9cf4-8d85b2d985ea,"#NaŽádanku.cz – Odběrové centrum Praha 6 (Ruzyně)",CZ0100,,"Drnovská 1112/60 161 00 Praha 6 - Ruzyně",50.0918058,14.2991447,80,1,1,1,1
7fb0635b-c170-4c09-a235-b48119a25d9a,"#Vyšetři.mě – Odběrové centrum Kladno (OC Central)",CZ0203,,"P. Bezruče 3388, 272 01 Kladno",50.1430953,14.1028781,480,1,1,1,
42c85d23-21e4-4fe9-baef-9ab06c0cbe6d,"#Vyšetři.mě – Odběrové centrum Praha 15 (H. Měcholupy)",CZ0100,,"Park na křižovatce ulic Ravennská a Milánská, Praha 15, 109 00",50.0444946,14.5583959,672,1,1,1,
799d1d3b-2f0c-405f-a5bd-78d9359785c6,"#Vyšetři.mě – Odběrové centrum Praha 21 (Újezd nad Lesy)",CZ0100,,"Živonínská 1630, 190 16 Praha 21",50.0710144,14.6792358,336,1,1,1,
8b0a718c-6c88-4380-b39a-fb6c7b20df9e,"#Vyšetři.mě – Odběrové centrum Praha 4 (Nusle)",CZ0100,,"Nuselská 24, 140 00 Praha 4 - Nusle",50.0627008,14.4437167,336,1,1,1,
4bf34117-aadf-400d-91ec-77dc8633874f,"#Vyšetři.mě – Odběrové centrum Praha 6 (Ruzyně)",CZ0100,,"Drnovská 1112/60 161 00 Praha 6 - Ruzyně",50.0921792,14.2998285,240,1,1,1,1
3e8efabc-3f63-46c7-914e-90cd9cda352a,"01 OT AČR",,,,49.3043147,16.9771492,20,,,,
054fe258-9488-4407-8030-739e0ba19b81,"02 OT AČR",,,,49.3043147,16.9771492,20,,,,
8011f561-ce69-4e40-918f-08a721ee9e7f,"03 OT AČR",,,,,,20,,,,
a11a4a21-9e7a-4928-b0b3-3bd48c7d1b75,"04 OT AČR",,,,,,20,,,,
a7839af1-92f2-4b1b-905b-599257d7f738,"05 OT AČR",,,,50.3242339,13.5621481,20,,,,
c648c003-dc4d-4587-8cb5-cb81e6b99e1f,"06 OT AČR",,,,,,20,,,,
8e56e5bf-d2b7-42fd-b153-d56f4803b197,"07 OT AČR",,,,,,20,,,,
a145229c-d80d-4a53-918f-cee20f7828cb,"08 OT AČR",,,,,,20,,,,
784cdc04-4313-4805-8413-e9e209c9fee5,"09 OT AČR",,,,50.0877031,14.3155228,20,,,,
13db7536-c868-44ee-bb90-e8af15d371f7,"10 OT AČR",,,,49.2545186,13.8837164,20,,,,
35112fbd-b73b-4350-b83c-dbd965831563,"12 OT AČR",,,,50.1266514,14.5367358,20,,,,
30191e43-01e0-4151-bafd-fdbca33c2424,"13 OT AČR",,,,,,20,,,,
80c76fd7-7a24-4745-8739-9da5372239ab,"14 OT AČR",,,,,,20,,,,
2f4d2baf-27cc-40df-bc29-9655e5eda63a,"15 OT AČR",,,,50.3242339,13.5621481,20,,,,
16aa14fa-6f5b-4959-b315-59b47c3b2856,"16 OT AČR",,,,50.0877031,14.3155228,20,,,,
be229836-1c3a-49e4-8549-bb70470aa83e,"17 OT AČR",,,,,,20,,,,
310eb1d8-8a15-45ef-92ec-6200a31a77a4,"18 OT AČR",,,,49.5902608,17.4226361,20,,,,
ca7b1bad-832a-4aa3-be23-5b36b1559cfb,"19 OT AČR",,,,49.5902608,17.4226361,20,,,,
984bac48-2e23-4537-adac-33ded3967270,"20 OT AČR",,,,,,20,,,,
f17f07d0-faf5-4df3-8a67-6e43d3dad5c9,"21 OT AČR",,,,,,20,,,,
1552f19b-4c92-457d-b0ff-4ff63c80ec0b,"22 OT AČR",,,,,,20,,,,
c6167bbc-ef63-40b3-8bd6-1e410ba6aa88,"23 OT AČR",,,,49.5917000,17.4200000,20,,,,
af70b3a6-c568-48a0-9577-1251ed9594db,"24 OT AČR",,,,,,20,,,,
a88c503e-0c36-42b5-ac0c-cbf6788b8d44,"25 OT AČR",,,,49.9356542,15.7975928,20,,,,
8f1e374d-04b0-410a-bc4a-a33720b8e50a,"26 OT AČR",,,,49.1473978,16.9935247,20,,,,
1143e38b-13bc-44dc-944d-eaa0b413ee5b,"27 OT AČR",,,,,,20,,,,
11ec7235-6160-4be8-a5c1-cda400a71704,"28 OT AČR",,,,49.3921067,13.2895458,20,,,,
47088628-452e-4a77-9ff9-6513d6bf5b4a,"29 OT AČR",,,,,,0,,,,
51a48ae4-93c4-4b8b-897c-9ba0e34e28a7,"30 OT AČR",,,,,,20,,,,
62f904ab-18f2-49b2-86d0-6af46e215491,"31 OT AČR",,,,50.7761769,15.0656703,20,,,,
70e022d7-f458-4589-81b0-ae0217796d3f,"32 OT AČR",,,,50.0873497,14.3092881,20,,,,
343660e9-2769-4d7b-92f1-48be640c3335,"33 OT AČR",,,,50.0873497,14.3092881,20,,,,
e3bc023c-27a1-496f-8a5c-665b0e103e60,"AESKULAB - odběrové místo VIVO Hostivař",CZ0100,,"Praha 10, Švehlova 1391/32",50.0537939,14.5166628,190,1,,1,
4e6f8c5e-1b70-4289-a2ab-ae9065304eb5,"AESKULAB Praha 6 - OM poliklinika DAM, Brixiho",CZ0100,,"Brixiho 1968/1, 162 00 Praha 6 - Břevnov",50.0900111,14.3578319,0,1,,1,
5fe2de84-e229-4505-8cc3-4a7d11035228,"AESKULAB Praha 8 - Mazurská",CZ0100,,"Mazurská 484/2, 181 00 Praha 8 - Troja",50.1267986,14.4155778,130,1,,1,
c8986ef2-a361-4830-9fc2-c301cae6dc2a,"AESKULAB Praha Vajgarská",CZ0100,,"Vajgarská 1141, Praha 9",50.1016111,14.5540425,0,1,,,
3960f5a9-8269-487c-8b93-f1fee91346ce,"AESKULAB Praha Čs.exilu",CZ0100,,"Čs.exilu 2175/36, Praha 12",50.0050431,14.4163756,40,1,,,
c960ecdd-24e8-4b02-b996-d67b735d21b2,"AESKULAB České Budějovice",CZ0311,,"Senovážné náměstí 231/7, České Budějovice",48.9734850,14.4793167,88,1,,1,
a7186ae0-fc69-4035-8505-db7eb4e72cf3,"AG COVID POINT - odběrové místo OC Královo Pole",CZ0642,,"Cimburkova 593/4, 612 00 Brno - Ponava",49.2169217,16.6084875,370,1,1,1,
54ae7bd0-3790-4b16-b0e0-a05c487f4f4f,"AG Covidpoint - Benzina - Průhonice D1 - Pha",CZ0100,,"Benzina dálnice D1 směr Praha 149 00 Praha - Újezd",50.0103275,14.5420769,370,1,1,1,
23ab953f-88a7-41d2-9931-abfdcdd03985,"AG Covidpoint - Brno Globus",CZ0642,,"Hradecká 40",49.2598950,16.5812011,370,1,1,1,
77fd260e-4765-4147-acfe-1a60a69ac13b,"AG Covidpoint - Brumlovka",CZ0100,,"Želetavská ul. Praha 4 - Michle",50.0485050,14.4563825,370,1,1,1,
92fb5fab-7445-41a9-baa5-42fda666ec2d,"AG Covidpoint - EUROPARK Štěboholy",CZ0100,,"Nákupní 389/3 Praha10- Štěrboholy",50.0722167,14.5436394,370,1,1,1,
c63857c0-50c0-4aae-944c-d31787fd193e,"AG Covidpoint - Havířov Globus",CZ0803,,"U Skleníků 1490/24, 735 64 Havířov - Prostřední Suchá",49.7916286,18.4405233,370,1,1,1,
e45380c8-3319-4af2-b80b-9a264699ea1e,"AG Covidpoint - Home Park Zličín",CZ0100,,"Skandinávská 131/1 155 00 Praha 5",50.0509506,14.2978350,370,1,1,1,
fb85ae7f-a281-477e-b81f-467a432c8052,"AG Covidpoint - Klatovy",CZ0322,,"Rozvoj 98, 339 01 Klatovy V",49.3957122,13.2998383,300,1,1,1,
71352457-fda3-4463-9f0a-f65cc50d013b,"AG Covidpoint - Metropole Zličín",CZ0100,,"Řevnická ul. 155 00 Praha 5",50.0530772,14.2899380,370,1,1,1,
16402727-26c3-4ae4-bf46-75b4f06a4bbb,"AG Covidpoint - Mladá Boleslav",CZ0207,,"Komenského nám 61/1 293 01 Mladá Boleslav",50.2444600,14.5416700,200,,,1,
53f38a3d-a3b6-4524-b769-b2e3c5bcaeef,"AG Covidpoint - Mladá Boleslav",CZ0207,,"Komenského náměstí 61, 293 01 Mladá Boleslav I",50.4123333,14.9035444,370,1,1,1,
9ee060b8-d132-4deb-a09a-8d5cd0596db1,"AG Covidpoint - OC Chodov",CZ0100,,"Roztylská ul. 148 00 Praha11",50.0300548,14.4917114,370,1,1,1,
91bd1e57-485e-4793-aa8d-cf37988df849,"AG Covidpoint - OC Letňany - Tesco",CZ0100,,"Veselská 663 199 00 Praha 9",50.1341969,14.4985997,370,,,1,
d6c96226-e0cc-449c-91f1-072e1582234b,"AG Covidpoint - OC Černý most",CZ0100,,"Chlumecká ul. Praha 9-Černý Most",50.1070308,14.5872724,370,,,1,
d85305f7-d116-4a7e-b3ba-eea6fe9ad6ac,"AG Covidpoint - OC Šestka",CZ0100,,"Fajtlova1090 Praha 6 - Ruzyně",50.0940622,14.2912836,370,,,1,
e33a4722-808e-438d-bd74-96e75009b1d2,"AG Covidpoint - Ostrava Globus",CZ0806,,"Opavská 326/90 725 27 Ostrava Plesná",49.8478456,18.1482667,330,,,1,
2fd4f085-c611-4a96-93fa-a64c5a55151f,"AG Covidpoint - České Budějovice Globus",CZ0311,,"České Vrbné 2327, 370 11 České Budějovice 2",49.0014072,14.4521917,300,,,1,
7c497088-5cd4-446c-9707-c520011b25b1,"AG Point - odběrové místo Znojmo Brněnská",CZ0647,,"Brněnská 3360/19, 669 02 Znojmo",48.8463858,16.0693931,185,1,,1,
785783ac-1168-4dcf-b28b-001efefc8a7b,"AG Point OC Olympia Brno",CZ0643,,"U Dálnice 777 664 42 Modřice",49.1382360,16.6340340,370,1,,1,
d002184e-3f7a-4176-a291-dee4aa31dd92,"AGEL Hornická poliklinika s.r.o. - odběrové místo Ostrava",CZ0806,,"Sokolská třída 2587/81, 702 00 Ostrava - Moravská Ostrava",49.8460583,18.2853503,400,,,1,
3ad3b310-6a64-4328-98d1-3e32b4d9d0de,"AGEL Středomoravská nemocniční a.s., Nemocnice AGEL Prostějov",CZ0713,,"Mathonova 291/1, 796 04 Prostějov",49.4748511,17.0885236,40,1,,,
